iter	Passed	Remaining
0	181	145138
1	205	82054
2	228	60823
3	252	50204
4	274	43707
5	297	39362
6	320	36284
7	343	34004
8	366	32209
9	389	30797
10	411	29545
11	432	28369
12	452	27399
13	473	26566
14	493	25835
15	514	25187
16	534	24612
17	552	24015
18	571	23488
19	589	22994
20	607	22536
21	624	22092
22	641	21680
23	658	21287
24	675	20938
25	692	20603
26	709	20300
27	726	20024
28	743	19758
29	760	19508
30	776	19255
31	792	19024
32	808	18799
33	824	18575
34	840	18367
35	855	18165
36	871	17972
37	887	17786
38	902	17610
39	917	17432
40	933	17276
41	948	17117
42	963	16969
43	978	16818
44	993	16675
45	1009	16541
46	1023	16401
47	1038	16272
48	1053	16146
49	1069	16036
50	1084	15929
51	1100	15824
52	1115	15724
53	1130	15620
54	1145	15518
55	1160	15420
56	1176	15330
57	1191	15241
58	1207	15161
59	1222	15077
60	1238	15001
61	1253	14921
62	1269	14846
63	1284	14774
64	1299	14699
65	1315	14626
66	1330	14556
67	1345	14489
68	1361	14425
69	1376	14359
70	1392	14293
71	1407	14230
72	1422	14168
73	1437	14104
74	1452	14045
75	1468	13987
76	1483	13930
77	1498	13874
78	1514	13819
79	1529	13766
80	1546	13729
81	1562	13680
82	1577	13629
83	1592	13578
84	1608	13526
85	1623	13478
86	1638	13429
87	1653	13380
88	1669	13336
89	1684	13292
90	1700	13247
91	1715	13205
92	1731	13161
93	1746	13118
94	1762	13077
95	1778	13040
96	1794	13003
97	1809	12964
98	1825	12925
99	1841	12889
100	1857	12852
101	1872	12813
102	1887	12774
103	1903	12736
104	1919	12705
105	1934	12668
106	1950	12629
107	1965	12593
108	1981	12559
109	2002	12560
110	2039	12660
111	2059	12649
112	2076	12626
113	2095	12607
114	2112	12581
115	2129	12554
116	2146	12530
117	2163	12505
118	2180	12478
119	2196	12449
120	2214	12425
121	2227	12381
122	2243	12348
123	2259	12315
124	2279	12308
125	2302	12315
126	2327	12334
127	2355	12368
128	2373	12343
129	2388	12312
130	2404	12279
131	2419	12244
132	2432	12199
133	2448	12167
134	2463	12135
135	2479	12104
136	2494	12074
137	2511	12046
138	2526	12016
139	2543	11992
140	2559	11960
141	2574	11928
142	2589	11897
143	2604	11864
144	2619	11834
145	2634	11802
146	2649	11771
147	2664	11736
148	2680	11709
149	2695	11680
150	2711	11652
151	2725	11620
152	2742	11595
153	2758	11570
154	2774	11546
155	2790	11520
156	2806	11493
157	2822	11466
158	2838	11443
159	2854	11416
160	2870	11390
161	2885	11362
162	2901	11337
163	2917	11314
164	2933	11287
165	2948	11261
166	2964	11234
167	2979	11207
168	2994	11180
169	3010	11154
170	3025	11129
171	3041	11105
172	3057	11080
173	3073	11056
174	3088	11032
175	3104	11008
176	3120	10982
177	3136	10958
178	3151	10933
179	3167	10908
180	3182	10883
181	3197	10858
182	3213	10834
183	3226	10802
184	3242	10777
185	3257	10753
186	3273	10730
187	3289	10707
188	3305	10685
189	3321	10663
190	3338	10643
191	3354	10623
192	3371	10602
193	3387	10580
194	3403	10558
195	3418	10535
196	3434	10513
197	3451	10493
198	3467	10471
199	3480	10440
200	3495	10417
201	3511	10393
202	3526	10371
203	3544	10355
204	3559	10331
205	3575	10308
206	3590	10285
207	3605	10262
208	3621	10239
209	3636	10216
210	3651	10193
211	3667	10171
212	3682	10149
213	3698	10127
214	3713	10104
